Codigo,Producto (POS),Precio
15909,AQUAGLOBBY BOMBUCHAS VS COLORES X100 GL2A RIVAS,1000
7188,GLOBO  SURTIDO X 40 OFERTA,2500
04375,"GLOBO AZUL NAVAL ESTANDAR 10"" X 50 EMANUEL GLOBOLANDIA",5400
64521,GLOBO BALLON X50 DIFERENTES COLORES,3900
001125,"GLOBO COMBINADO CELESTE/BLANCO 10"" X 25 EMANUEL GLOBOLANDIA",3000
600322,GLOBO CRISTAL  X 50 GLOBOLANDIA EMANUEL,3500
50429,"GLOBO CRISTAL GLOBOX TRANSPARENTE 14"" X 50",8800
93215,GLOBO DE GLOBOLOGIA SUPER X 100,6000
00155,"GLOBO ESTANDAR AMARILLO 10"" X 50 EMANUEL",5400
01886,"GLOBO ESTANDAR AMARILLO 12"" X 25 EMANUEL",4000
00131,"GLOBO ESTANDAR AZUL 10"" X 50 EMANUEL",5400
01879,"GLOBO ESTANDAR AZUL 12"" X 25 EMANUEL",4000
04436,"GLOBO ESTANDAR BLANCO 10"" X 25 EMANUEL",3000
00100,"GLOBO ESTANDAR BLANCO 10"" X 50 EMANUEL",5400
01848,"GLOBO ESTANDAR BLANCO 12"" X 25 EMANUEL",4000
04467,"GLOBO ESTANDAR CELESTE 10"" X 25 EMANUEL",3000
000124,"GLOBO ESTANDAR CELESTE 10"" X 50 EMANUEL GLOBOLANDIA",5400
01862,"GLOBO ESTANDAR CELESTE 12"" X 25 EMANUEL",4000
04320,"GLOBO ESTANDAR GRIS 12"" X 25 EMANUEL",4000
74014,"GLOBO ESTANDAR GRIS PERLA 12"" X 50 GLOBOX",11000
04344,"GLOBO ESTANDAR LATTE CREAM 12"" X 25 EMANUEL",4000
74021,"GLOBO ESTANDAR LATTE CREAM 12"" X 50 GLOBOX",11000
01930,"GLOBO ESTANDAR LILA 12"" X 25 EMANUEL",4000
04580,"GLOBO ESTANDAR MARRON 10"" X 25 UNI EMANUEL",3000
01978,"GLOBO ESTANDAR NARANJA 12"" X 25 EMANUEL",4000
01954,"GLOBO ESTANDAR NEGRO 12"" X 25 EMANUEL",4000
01855,"GLOBO ESTANDAR ROJO 12"" X 25 EMANUEL",4000
04443,"GLOBO ESTANDAR ROSA 10"" X 25 EMANUEL",3000
00117,"GLOBO ESTANDAR ROSA 10"" X 50 EMANUEL",5400
01923,"GLOBO ESTANDAR ROSA 12"" X 25 EMANUEL",4000
01985,"GLOBO ESTANDAR ROSA CHICLE 12"" X 25 EMANUEL",4000
00049,"GLOBO ESTANDAR SURTIDO 10"" X 50 GLOBOLANDIA/EMANUEL",5500
01824,"GLOBO ESTANDAR SURTIDO 12"" X 25 EMANUEL",4000
01893,"GLOBO ESTANDAR VERDE CLARO 12"" X 25 EMANUEL",4000
01916,"GLOBO ESTANDAR VERDE MANZANA 12 "" X 25 EMANUEL",4000
04337,"GLOBO ESTANDAR VERDE OLIVA 12"" X 25 EMANUEL",4000
35018,"GLOBO ESTANDAR YEHUA BALLOONS VS COLORES 10"" X 50",6000
71378,"GLOBO ESTANDARD ARENA 12"" X 50 GLOBOX",11000
71637,"GLOBO ESTANDART CORAL FRESH 12"" X 50 GLOBOX",11000
20919,"GLOBO FIESTA LOCA AZUL PERLADO 12"" X25",3700
20896,"GLOBO FIESTA LOCA CELESTE ""PERLADO"" 12"" X25",3700
20179,"GLOBO FIESTA LOCA CRISTAL 10"" X 50",3700
20094,"GLOBO FIESTA LOCA FUCSIA 9"" X 50",4100
21692,"GLOBO FIESTA LOCA PASTEL AMARILLO 10"" X 25",3200
21661,"GLOBO FIESTA LOCA PASTEL CELESTE 10"" X 25",3200
22378,"GLOBO FIESTA LOCA PASTEL SURTIDOS 10"" X 25",3200
21708,"GLOBO FIESTA LOCA PASTEL VERDE 10"" X 25",3200
24068,"GLOBO FIESTA LOCA PASTEL VIOLETA 10"" X 25",3200
20049,"GLOBO FIESTA LOCA ROJO 9"" X 50",4100
20025,"GLOBO FIESTA LOCA ROSA 9"" X 50",4100
21883,"GLOBO FIESTA LOCA SALMON 9"" X 50",4100
20124,"GLOBO FIESTA LOCA SURTIDO 9"" X 50",4100
20100,"GLOBO FIESTA LOCA VERDE CLARO 9"" X 50",4100
20063,"GLOBO FIESTA LOCA VIOLETA/LILA 9"" X 50",4100
00247,"GLOBO FLUO SURTIDO 10"" X 50 GLOBOLANDIA/EMANUEL",5500
02098,"GLOBO MARRON 10"" X50 GLOBOLANDIA EMANUEL",5400
00223,"GLOBO NARANJA ESTANDAR 10"" X 50 EMANUEL GLOBOLANDIA",5400
04313,"GLOBO NARANJA PASTEL 12"" X 25 EMANUEL",3900
02029,"GLOBO PASTEL AMARILLO 10"" X50 GLOBOLANDIA EMANUEL",5400
01992,"GLOBO PASTEL CELESTE 10"" X50 GLOBOLANDIA EMANUEL",5400
04276,"GLOBO PASTEL CELESTE 12"" X 25 EMANUEL",3900
02067,"GLOBO PASTEL GRIS 9"" X 50 GLOBOLANDIA EMANUEL",5400
02050,"GLOBO PASTEL LILA/VIOLETA 10"" X50 GLOBOLANDIA EMANUEL",5400
