Foto,Producto en la web,Detalle,Pagina,Codigo,Sugerencia (revisar),Nombre sugerido,% parecido
"productos/1. Cotillon y fiestas/Cortinas/Cortina metalizada comun(dorado, rosa, verde, rojo) 6048.webp",Cortina metalizada,"dorado, rosa, verde, rojo",cumpleanos-v2.html,,,,
"productos/1. Cotillon y fiestas/Cortinas/Cortina metalizada cuadrada 90x190cm (azul, turquesa, negro, rosa gold) 22738.webp",Cortina metalizada,"azul, turquesa, negro, rosa gold",cumpleanos-v2.html,,,,
"productos/1. Cotillon y fiestas/Cortinas/Cortina metalizada comun 90x190cm (celeste, rojo, verde, plata, dorado) 6048.webp",Cortina metalizada,"celeste, rojo, verde, plata, dorado",cumpleanos-v2.html,,,,
"productos/1. Cotillon y fiestas/Cortinas/Cortina metalizada (rojo, dorado, fucsia) 22738.webp",Cortina metalizada,"rojo, dorado, fucsia",cumpleanos-v2.html,,,,
"productos/1. Cotillon y fiestas/Cortinas/Cortina metalizada (rosa, rosa gold, purpura, negro, azul).webp",Cortina metalizada,"rosa, rosa gold, púrpura, negro, azul",cumpleanos-v2.html,,,,
"productos/1. Cotillon y fiestas/Panel shimmer de lentejuelas (holografico, cobre, dorado) 05677.webp",Panel shimmer de lentejuelas,"holografico, cobre, dorado",cumpleanos-v2.html,,,,
productos/2. Linea de cumpleanos/Guirnalda/Guirnalda Feliz Cumpleanos pastel 12011.webp,Guirnalda Feliz Cumpleaños pastel,tonos pastel,cumpleanos-v2.html,,,,
productos/2. Linea de cumpleanos/Guirnalda/Guirnalda banderines Feliz Cumpleanos (metalizado y glitter) 20972.webp,Guirnalda banderines Feliz Cumpleaños,metalizado y glitter,cumpleanos-v2.html,,,,
productos/2. Linea de cumpleanos/Guirnalda/Guirnalda banderines Feliz Cumpleanos (colores lisos) 20934.webp,Guirnalda banderines Feliz Cumpleaños,colores lisos,cumpleanos-v2.html,,,,
productos/2. Linea de cumpleanos/Velas-Numero-Multicolor 31409.png,Velas número estilo globo,"del 0 al 9 · multicolor, doradas y plateadas",cumpleanos-v2.html,,,,
productos/4. Reposteria/Topper/Topper de torta mariposas de colores 9132.webp,Topper de torta mariposas,de colores,cumpleanos-v2.html,,,,
productos/4. Reposteria/Topper/Topper de torta mariposas Feliz Cumpleanos 9132.webp,Topper mariposas Feliz Cumpleaños,,cumpleanos-v2.html,,,,
"productos/4. Reposteria/Topper/Topper de torta Feliz Cumpleanos glitter (rosa, plata, negro) 07071.webp",Topper Feliz Cumpleaños glitter,"rosa, plata, negro",cumpleanos-v2.html,,,,
productos/4. Reposteria/Adorno de torta/Adorno de torta Feliz Cumpleanos glitter con flor (rosa y celeste) 32175.webp,Adorno Feliz Cumpleaños con flor,rosa y celeste,cumpleanos-v2.html,,,,
productos/4. Reposteria/Adorno de torta/Adorno de torta Feliz Cumpleanos con mono (plata y dorado) 32715.webp,Adorno Feliz Cumpleaños con moño,plata y dorado,cumpleanos-v2.html,,,,
productos/4. Reposteria/Velas/Velas largas bicolor doradas 21757.jpg,Velas largas bicolor,,cumpleanos-v2.html,,,,
productos/4. Reposteria/Velas/Velas largas bicolor multicolor 21696.jpg,Velas largas bicolor,,cumpleanos-v2.html,,,,
productos/4. Reposteria/Velas/Velas largas bicolor plateadas 21793.jpg,Velas largas bicolor,,cumpleanos-v2.html,,,,
productos/4. Reposteria/Velas/Velas largas celestes 21672.jpg,Velas largas impresas,,cumpleanos-v2.html,,,,
productos/4. Reposteria/Velas/Velas largas rosas y doradas 21658.jpg,Velas largas impresas,,cumpleanos-v2.html,,,,
productos/4. Reposteria/Velas/Velas largas metalizadas doradas 21818.jpg,Velas largas metalizadas,,cumpleanos-v2.html,,19012,ESPOSAS METALIZADAS,67
productos/4. Reposteria/Velas/Velas largas metalizadas plateadas 21832.jpg,Velas largas metalizadas,,cumpleanos-v2.html,,19012,ESPOSAS METALIZADAS,67
productos/4. Reposteria/Velas/Velas largas metalizadas rosa gold 21856.jpg,Velas largas metalizadas,,cumpleanos-v2.html,,19012,ESPOSAS METALIZADAS,67
productos/4. Reposteria/Velas/Velas finitas torneadas celestes y blancas 75789.jpg,Velas finitas torneadas,,cumpleanos-v2.html,,,,
productos/4. Reposteria/Velas/Velas finitas torneadas rosas y blancas 75772.jpg,Velas finitas torneadas,,cumpleanos-v2.html,,,,
productos/4. Reposteria/Velas/Velas finitas torneadas multicolor 75734.jpg,Velas finitas torneadas,,cumpleanos-v2.html,,,,
