Producto en la web,Detalle,Pagina,Codigo en la foto,Causa probable,Codigo sugerido,Nombre en el POS,Precio,Otros candidatos
Cortina metalizada,"dorado, rosa, verde, rojo",cumpleanos-v2.html,6048,C. no esta en la lista de precios (cargar precio en el POS),,,,
Cortina metalizada,"azul, turquesa, negro, rosa gold",cumpleanos-v2.html,22738,C. no esta en la lista de precios (cargar precio en el POS),,,,
Cortina metalizada,"celeste, rojo, verde, plata, dorado",cumpleanos-v2.html,6048,C. no esta en la lista de precios (cargar precio en el POS),,,,
Cortina metalizada,"rojo, dorado, fucsia",cumpleanos-v2.html,22738,C. no esta en la lista de precios (cargar precio en el POS),,,,
Cortina metalizada,"rosa, rosa gold, púrpura, negro, azul",cumpleanos-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,
Panel shimmer de lentejuelas,"holografico, cobre, dorado",cumpleanos-v2.html,05677,C. no esta en la lista de precios (cargar precio en el POS),,,,
Guirnalda Feliz Cumpleaños pastel,tonos pastel,cumpleanos-v2.html,12011,C. no esta en la lista de precios (cargar precio en el POS),,,,
Guirnalda banderines Feliz Cumpleaños,metalizado y glitter,cumpleanos-v2.html,20972,C. no esta en la lista de precios (cargar precio en el POS),,,,
Guirnalda banderines Feliz Cumpleaños,colores lisos,cumpleanos-v2.html,20934,C. no esta en la lista de precios (cargar precio en el POS),,,,
Velas número estilo globo,"del 0 al 9 · multicolor, doradas y plateadas",cumpleanos-v2.html,31409,C. no esta en la lista de precios (cargar precio en el POS),,,,6158 VELA DE SOJA PLUMA 2232 ESTILO DOM ($6500)
Topper de torta mariposas,de colores,cumpleanos-v2.html,9132,C. no esta en la lista de precios (cargar precio en el POS),,,,
Topper mariposas Feliz Cumpleaños,,cumpleanos-v2.html,9132,C. no esta en la lista de precios (cargar precio en el POS),,,,
Topper Feliz Cumpleaños glitter,"rosa, plata, negro",cumpleanos-v2.html,07071,C. no esta en la lista de precios (cargar precio en el POS),,,,
Adorno Feliz Cumpleaños con flor,rosa y celeste,cumpleanos-v2.html,32175,C. no esta en la lista de precios (cargar precio en el POS),,,,
Adorno Feliz Cumpleaños con moño,plata y dorado,cumpleanos-v2.html,32715,C. no esta en la lista de precios (cargar precio en el POS),,,,
Velas largas bicolor,,cumpleanos-v2.html,21757,C. no esta en la lista de precios (cargar precio en el POS),,,,
Velas largas bicolor,,cumpleanos-v2.html,21696,C. no esta en la lista de precios (cargar precio en el POS),,,,
Velas largas bicolor,,cumpleanos-v2.html,21793,C. no esta en la lista de precios (cargar precio en el POS),,,,
Velas largas impresas,,cumpleanos-v2.html,21672,C. no esta en la lista de precios (cargar precio en el POS),,,,
Velas largas impresas,,cumpleanos-v2.html,21658,C. no esta en la lista de precios (cargar precio en el POS),,,,
Velas largas metalizadas,,cumpleanos-v2.html,21818,C. no esta en la lista de precios (cargar precio en el POS),,,,
Velas largas metalizadas,,cumpleanos-v2.html,21832,C. no esta en la lista de precios (cargar precio en el POS),,,,
Velas largas metalizadas,,cumpleanos-v2.html,21856,C. no esta en la lista de precios (cargar precio en el POS),,,,
Velas finitas torneadas,,cumpleanos-v2.html,75789,C. no esta en la lista de precios (cargar precio en el POS),,,,
Velas finitas torneadas,,cumpleanos-v2.html,75772,C. no esta en la lista de precios (cargar precio en el POS),,,,
Velas finitas torneadas,,cumpleanos-v2.html,75734,C. no esta en la lista de precios (cargar precio en el POS),,,,
Piñata de cartón,Frozen,cumpleanos-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,7837 PIÑATA CARTON CAT ATLETICO ($3500); 54440 PIÑATA DE CARTON FUTBOL X 1 FESTCO ($4500); 54099 PIÑATA CARTON CARPINCHO X 1 FESTCO ($4200)
Piñata de Cartón,Encanto,cumpleanos-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,7837 PIÑATA CARTON CAT ATLETICO ($3500); 54440 PIÑATA DE CARTON FUTBOL X 1 FESTCO ($4500); 54099 PIÑATA CARTON CARPINCHO X 1 FESTCO ($4200)
Mantel,Intensamente,cumpleanos-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,
Vasos Polipapel,Merlina,cumpleanos-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,56987 VASO POLIPAPEL MARGARITA CUADRO X  ($2500); 56581 VASO POLIPAPEL OSITO X 8 FESTCOPAC ($2300); 54501 VASO POLIPAPEL FUTBOL X 8 FESTCOPA ($2500)
Mantel,Merlina,cumpleanos-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,
Platos Cartón,Merlina,cumpleanos-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,66667 PLATO DE CARTON PLATEADO  10 BLIND ($3000); 6488 PLATO DE CARTON PLATEADO 22CM X 1 ($500); 5850 PLATO DE CARTON PLATEADO 30CM X 1 ($900)
Platos descartables plásticos,,decoracion-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,11414 MACETERO PLASTICO CON PLATO GRANDE ($5800)
Plato celeste estrella,,decoracion-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,07898 PLATO POLIPAPEL CELESTE LUNAR PLAT ($2500); 06767 PLATO CUADRADO CELESTE PASTEL X8 G ($3500); 02165 PLATO CELESTE PASTEL X8 FESTCOPACK ($2500)
Plato hoja azul,,decoracion-v2.html,06251,A. codigo de la foto con un digito mal,06521,PLATOS POLIPAPEL RULETA/HOJA/ONDA BORDE DORADO X 8 ALPARAMIS,3500,46202 PLATO POLIPAPEL HOJA/RAYAS/ESTRELL ($4500); 09300 PLATO MI COMUNION GREEN HOJAS OLIV ($3500); 06921 PLATO DE POLIPAPEL 17 CM HOJA DE P ($5500)
Florero Cónico Alto,,decoracion-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,8678 FLORERO CONICO GRANDE 16.5 X 35 CM ($43500); 8397 FLORERO VIDRIO CONICO 15X28 CM (VC ($22000); 38676 FLORERO CONICO CHICO 9.5X17 VCONIC ($15000)
Florero Copón,,decoracion-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,
