Grupo,Codigo en la foto,Producto en la web,Detalle,Pagina,Existe en el POS? (si/no),Tiene precio minorista? (si/no),Codigo correcto si era otro
Velas de cumpleanos,31409,Velas número estilo globo,"del 0 al 9 · multicolor, doradas y plateadas",cumpleanos-v2.html,,,
Velas de cumpleanos,21757,Velas largas bicolor,,cumpleanos-v2.html,,,
Velas de cumpleanos,21696,Velas largas bicolor,,cumpleanos-v2.html,,,
Velas de cumpleanos,21793,Velas largas bicolor,,cumpleanos-v2.html,,,
Velas de cumpleanos,21672,Velas largas impresas,,cumpleanos-v2.html,,,
Velas de cumpleanos,21658,Velas largas impresas,,cumpleanos-v2.html,,,
Velas de cumpleanos,21818,Velas largas metalizadas,,cumpleanos-v2.html,,,
Velas de cumpleanos,21832,Velas largas metalizadas,,cumpleanos-v2.html,,,
Velas de cumpleanos,21856,Velas largas metalizadas,,cumpleanos-v2.html,,,
Velas de cumpleanos,75789,Velas finitas torneadas,,cumpleanos-v2.html,,,
Velas de cumpleanos,75772,Velas finitas torneadas,,cumpleanos-v2.html,,,
Velas de cumpleanos,75734,Velas finitas torneadas,,cumpleanos-v2.html,,,
Cortinas metalizadas,6048,Cortina metalizada,"dorado, rosa, verde, rojo",cumpleanos-v2.html,,,
Cortinas metalizadas,22738,Cortina metalizada,"azul, turquesa, negro, rosa gold",cumpleanos-v2.html,,,
Cortinas metalizadas,6048,Cortina metalizada,"celeste, rojo, verde, plata, dorado",cumpleanos-v2.html,,,
Cortinas metalizadas,22738,Cortina metalizada,"rojo, dorado, fucsia",cumpleanos-v2.html,,,
Cortinas metalizadas,,Cortina metalizada,"rosa, rosa gold, púrpura, negro, azul",cumpleanos-v2.html,,,
Toppers y adornos de torta,9132,Topper de torta mariposas,de colores,cumpleanos-v2.html,,,
Toppers y adornos de torta,9132,Topper mariposas Feliz Cumpleaños,,cumpleanos-v2.html,,,
Toppers y adornos de torta,07071,Topper Feliz Cumpleaños glitter,"rosa, plata, negro",cumpleanos-v2.html,,,
Toppers y adornos de torta,32175,Adorno Feliz Cumpleaños con flor,rosa y celeste,cumpleanos-v2.html,,,
Toppers y adornos de torta,32715,Adorno Feliz Cumpleaños con moño,plata y dorado,cumpleanos-v2.html,,,
Licencias (mantel/vasos/platos/pinata),,Piñata de cartón,Frozen,cumpleanos-v2.html,,,
Licencias (mantel/vasos/platos/pinata),,Piñata de Cartón,Encanto,cumpleanos-v2.html,,,
Licencias (mantel/vasos/platos/pinata),,Mantel,Intensamente,cumpleanos-v2.html,,,
Licencias (mantel/vasos/platos/pinata),,Vasos Polipapel,Merlina,cumpleanos-v2.html,,,
Licencias (mantel/vasos/platos/pinata),,Mantel,Merlina,cumpleanos-v2.html,,,
Guirnaldas,12011,Guirnalda Feliz Cumpleaños pastel,tonos pastel,cumpleanos-v2.html,,,
Guirnaldas,20972,Guirnalda banderines Feliz Cumpleaños,metalizado y glitter,cumpleanos-v2.html,,,
Guirnaldas,20934,Guirnalda banderines Feliz Cumpleaños,colores lisos,cumpleanos-v2.html,,,
Platos,,Platos Cartón,Merlina,cumpleanos-v2.html,,,
Platos,,Platos descartables plásticos,,decoracion-v2.html,,,
Platos,,Plato celeste estrella,,decoracion-v2.html,,,
Otros,00632,Chalecos reflectivos,de seguridad,disfraces-v2.html,,,
Otros,,Cofias de paisana de paño,"naranja, celeste, verde",disfraces-v2.html,,,
Otros,,Cotillón completo de la Selección,"gorros, vinchas, anteojos, cornetas y más",especiales-v2.html,,,
Floreros,,Florero Cónico Alto,,decoracion-v2.html,,,
Floreros,,Florero Copón,,decoracion-v2.html,,,
Aerosoles,6863,Nieve artificial en aerosol,,globos-fiesta-v2.html,,,
Aerosoles,3997,Serpentina en aerosol,,globos-fiesta-v2.html,,,
Sombreros y coronas,79275,Gorro flamenco,,globos-fiesta-v2.html,,,
Sombreros y coronas,49035,Corona de rey dorada,,globos-fiesta-v2.html,,,
Panel shimmer,05677,Panel shimmer de lentejuelas,"holografico, cobre, dorado",cumpleanos-v2.html,,,
Alas,,Alas de ángel,tul,disfraces-v2.html,,,
