Codigo,Nombre del articulo (segun 1-Precios.csv)
39035,ALA HADA TORNASOLADA VERDE NIÑA AC657 RIVAS
221551,ALFOMBRA FIBRA NATURAL RECTANGULAR 70X40CM
01951,ALFOMBRA SEAGRASS LACE 150 CM ENTRANCE 2698
9313,ALMOHADON KIKA NATURAL 60X90CM AKIKANA CLAUDIA ADORNO
22412,ALSTROMERIA X 5 5 CM FL 22412 CECIL
8993,ANGEL VARON ARRODILLADO BLANCO CON LUZ 25C07WB APOS
9584,ANGEL VARON SENTADO CON PLUMA CHICO
3635,ANGELITO ARRODILLADO BLANCO NENA/VARON 25C328-WG-WB APOS
ACRILICO12,ANTEOJO ACRILICO X12
92258,ANTEOJO CHOP
ANTMETAL,ANTEOJO METALIZADO ECONOMICO X12
12146,APOYA FUENTE SILICONA X 1
13370,ARCO Y FLECHA GIGANTE
10607,ARMADOR DE FLORES PARPEN
02422,AROMO BUSH X 9 42CM FL02422
42084,BANDEJA CENTRO HOJA 47CM DORA/BLANCA G120-4208/07 MANO TEXTI
4222,BANDEJA DE CARTON 103 MARRON CON TAPA 17X13X5CM X 1
17769,BANDEJA DE PORCELANA CUADRADA 19X19X2 101776 D´SAZA
17776,BANDEJA DE PORCELANA CUADRADA 25X25X2CM 101777 D´SAZA
17806,BANDEJA DE PORCELANA RECTANGULAR 30X18X2CM 101780 D´SAZA
17813,BANDEJA DE PORCELANA RECTANGULAR 36X21X2CM 101781 D´SAZA
70234,BANDEJA OVAL SANTA CRUZ 25X18 CM MISHKA
14752,BANDEJA PORCELANA BLANCA 18X31 4191475 D´SAZA
12746,BANDEJA PORCELANA HOJA BLANCO 35X15CM 0106J95 MISHKA
332016,BANDEJA TEFLON 33X22CM X1 MM33-201A
332015,BANDEJA TEFLON 37X26CM X1 MM33-201B
2625,BANDERA PLASTICA 40 X 60.
21412,BASE GIRATORIA DOÑA CLARA
36911,BEBE C/ MAMADERA Y CHUPETE (SONIDO)
9783,BEBE CELESTE CON GLOBOS EN MANTA 19265A
9245,BEBE GORRO PARADO ROSA TG011635G APOS
8888,BEBE SENTADO CON VISER Y CHUPETE GRANDE ALJ10B879B APOS
73242,BIGOTE EINSTEIN X 1 BIG02 RIVAS
35822,BIGOTES CON CEJAS
03262,BIZCOCHUELO CUADRADO BAJO 26 X1(26X26X5)
9595,BLONDA BORDADA BLANCA REDONDA 15CM X 100
27759,BLONDA CORAZON BLANCA 25CM X 12UNI DBLCA25BL RIVAS
7060,BOLSITAS CELOFAN 10X15CM X 100 PARA HUEVO
